Date;Object A;Type A;Object B;Type B;Direction;Color;Intensity;LatitudeA;LongitudeA;LatitudeB;LongitudeB
01.01.2018;B;Type1;C;Type2;in;#00008B;5;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;5;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;5;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;5;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;5;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;5;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;5;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;5;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;5;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;6;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;6;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;6;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;6;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;6;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;6;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;6;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;6;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;6;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;7;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;7;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;7;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;7;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;7;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;7;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;7;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;7;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;7;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;8;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;8;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;8;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;8;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;8;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;8;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;8;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;8;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;8;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;9;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;9;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;9;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;9;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;9;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;9;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;9;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;9;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;9;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;10;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;10;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;10;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;10;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;10;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;10;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;10;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;10;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;10;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;11;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;11;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;11;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;11;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;11;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;11;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;11;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;11;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;11;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;12;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;12;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;12;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;12;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;12;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;12;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;12;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;12;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;12;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;13;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;13;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;13;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;13;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;13;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;13;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;13;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;13;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;13;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;14;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;14;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;14;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;14;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;14;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;14;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;14;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;14;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;14;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;15;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;15;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;15;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;15;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;15;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;15;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;15;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;15;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;15;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;16;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;16;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;16;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;16;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;16;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;16;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;16;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;16;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;16;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;17;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;17;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;17;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;17;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;17;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;17;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;17;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;17;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;17;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;18;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;18;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;18;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;18;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;18;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;18;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;18;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;18;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;18;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;19;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;19;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;19;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;19;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;19;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;19;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;19;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;19;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;19;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;20;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;20;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;20;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;20;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;20;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;20;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;20;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;20;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;20;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;21;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;21;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;21;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;21;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;21;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;21;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;21;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;21;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;21;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;22;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;22;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;22;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;22;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;22;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;22;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;22;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;22;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;22;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;23;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;23;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;23;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;23;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;23;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;23;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;23;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;23;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;23;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;24;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;24;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;24;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;24;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;24;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;24;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;24;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;24;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;24;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;25;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;25;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;25;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;25;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;25;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;25;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;25;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;25;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;25;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;26;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;26;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;26;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;26;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;26;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;26;60.018848;30.416448;60.023898;30.406769
01.01.2018;B;Type1;C;Type2;in;#00008B;26;60.023898;30.406769;60.015158;30.391641
01.01.2018;A;Type1;B;Type1;out;red;26;60.012746;30.394991;60.018848;30.416448
02.01.2018;A;Type1;B;Type1;out;black;26;60.018848;30.416448;60.023898;30.406769
